chromosome	bucket_number	min	max	sum	freq
0	47	175420000	175780000	34	0.013188518231186967
5	459	168260000	168600000	175	0.06788207913110939
7	550	2260000	2640000	83	0.0321955003878976
10	777	134320000	134720000	67	0.025989138867339022
13	872	43800000	44260000	26	0.01008533747090768
14	899	22760000	23080000	39	0.015128006206361521
14	906	32020000	32420000	45	0.017455391776570985
18	1043	52260000	52640000	29	0.011249030256012413
21	1096	22280000	22580000	126	0.048875096974398756
22	1127	6420000	8160000	39	0.015128006206361521
